score,city,title,review
3,Pensacola,Atmospheric and Gritty Sci-Fi Shoot'em Up -Bad DVDTransfer!!,"I basically mirror the comments of previous reviewers who give this film high marks for storyline and action.My main complaint is the outrageous quality of the transfer over to DVD. I have yet to come across a DVD that has such terrible image quality. It is like looking at an old VHS tape. Image outlines shimmer and fluctuate. Lighting and shadow effects darken and lighten. Sound quality is OK in my opinion. Nonetheless, the image quality is an annoying distraction which degrades the overall enjoyment of this finely done Sci Fi thriller.If you must get this DVD, write to Warner Studios and tell them how lousy a job they did on this DVD transfer. This film deserved much better attention to image quality. I am sure many of you would have screamed bloody murder if ""Alien"" had been so poorly done.Warner needs to come out with an ""Outland SE"" to rectify this problem. ..."
3,Fridley,"Works even for ""historic"" stains!","I recently acquired a 12 qt. Calphalon hard anodized stock pot and used it two or three times before getting Calphalon Dormond cleanser. The pot developed black-on-black watermark type stains on the inside bottom and the inside lid.I tried Barkeeper's Friend (because I had it on hand) to remove the stains, but to no avail.When the Dormond arrived I scoured both watermarked areas 6 to 8 times and was finally able to eliminate them, totally. I trust that timely application after each future use of my stockpot will not require nearly such quantity of effort."
3,Orland Park,Childish,"This the first and only Star Wars movie that I've seen (I saw it in theaters) and the reason I saw it was because of the hype around ""Star Wars"". Everywhere you turn they talked about ""Star Wars"". So I went to see it and I was SHOCKED.This movie is so childish, I was shaking my head the whole time. It's full of weird looking characters that act & talk like retarded creatures, it's just so childish!!! I couldn't believe my eyes, I expected something that ""could"" appeal to an adult. I mean even Harry Potter looked good, it was not an insult to intelligence. I will never understand why adults camp outside theaters weeks before the release of Star Wars movies. This movie is for people under age 12, SERIOUSLY. I felt insulted as an adult viewer. The only reason I gave it 2 stars is that ""perhaps"" kids would enjoy it."
3,Sun City Center,Hanging folders,Thanks for the very nice hanging folders. They work perfect in my file drawer. Nicely priced and well made. Thanks again.
3,Burton,I long for the good old days,"wow, i got this product and i was shocked at how strong it is. i used royal secret many years ago, and it was a wonderfully subdued scent reminding me somewhat of baby powder. i loved it! it is not the same! i barely put any on now and i will not buy this again."
5,Orland Park,Baseball Display,"As usual, my purchase from Amazon.com was delivered in a very timely manner. The baseball display and card holder is just as advertised and does a great job of protection and display. Overall a great value for your dollars spent."
4,Kenmore,"Thin, but accurate and entertaining","I am uncomfortable giving any book a number rating, but this form requires it. Is Bongwater a Great Book? No, but it is a good read and is certainly better than any of the novels I have written (zero). I lived in Portland in the 80's and am very familiar with the scene described in the book. I felt like I knew a lot of the characters and the characterizations were not as gonzo as you might want to believe. I actually purchased this book because I knew the author when he was living in Portland in '86 and was afraid the Lisa character might be me. Having read it, I am pretty sure it's not, but it's possible Michael remembers me less fondly than I remember him."
1,Orland Park,Average sound system,Unit does not have the individual frequency range control that I need. Also the programing is quite complex. Seems to me the sound is very hollow. Very pricey for what it is. All functions do operate ae described in the owners manual. Guess I needed to do more shopping.May be alright for an entry level Home theater system.
2,Eastchester,Disappointed.,"i'm a male, and i find butch women extremely attractive. when i saw this book, i expected it to be the love woes of a masculine woman who couldn't find her place in the world. instead, i cannot get past the first chapter, which is nothing but ""men are evil."""
5,Mansfield,this book has been a lifesaver for our whole family!!,"we are all sleeping through the night because of this very helpful and very practical book. our baby was sleeping all night after two nights of ""stretching"" his schedule. i am a nursing mom and i had reservations at first. however, i am a believer and now i have recommended this book to many friends who love it,too. the method works without being rigid or cruel. the idea of the ""focal feeding"" makes so much sense!! i did not feel guilty when trying this method and i appreciate the authors sharing the information with young momand dads. i also like the option of having dad or another caregiver involved with the process. overall, i couldn't have survived without it. thank you !"
4,Holt,AWESOME CD,"I heard this CD, when it first came out. Lost the CD, ordered a new CD to replace it, and was blown away. The extra songs on it make it worth the $$$."
4,New Windsor,I bought it,Our wall turn on switch went bad a couple of times in our bathroom. This thing really makes life easier than going to the bathroom by candlelight (smile).
2,Fridley,"Great watch, until the latch on the band broke","I have had this watch in a zip loc bag for the last year! I have taken the watch to several watch stores...and they cannot fix it as the (tricky) latch on the watch has to be soldered back on to the band! This watch lasted on my arm for less than a month. This is a sever disappointment as the watch is not inexpensive!On the plus side, the watch is very handsome."
2,Brookfield,capitol collectors series,Nothing much to justify this Sinatra release. The addition of one track is insufficient to have re-released this compilation.
5,Annapolis,light bulbs don't last,I have these lights on my van for about 4 years and both bulbs were replaced already. The replacement bulbs are expensive and in my opinion do not last very long considering I seldom use the lights. The installation was fairly easy and the lights are of high quality. It does provide an additional margin of safety in dark rainy nights.
4,Marysville,"Very Thorough, well-sourced, informative","This is a very thorough account of the years 1917-21 Ukraine, and the attempts of Nestor Makno and his anarchist populist army to liberate their country from first, the czarist, counter-revolutionary (""white"") army, and then the traitorous Bolsheviks, who attacked the ""Maknovites"" from behind, (after having taken control of the Revolution, strangling it to death in the name of ""the international proletariat.""A solid piece of scholarship, stands up well against the other historical accounts, (i.e. the official Soviet slander, and others of dubious moral character).Not as well written as say, Emma Goldman's ""My Disillusion in Russia,"" or Alexander Berkman's ""The Bolshevik Myth"" (which gives a more-intimate, first-person account); but a stand-out historical marker.One can only hope that Nestor Makno's extensive auto-biography will soon be published in English."
4,Burton,Wonderful!!!,"This is my absolute favorite CD. I like just about every song on here (""Jumper"" is my favorite, although ""Losing A Whole Year"" and ""How's It Going To Be"" tie for a close second.) This CD is definitely not repetitive, and the lyrics are easy to relate to. I highly recommend it."
3,Fridley,The Pope of Greenwich Village,Check this out!! The frigging DVD doesn't work at all. I have tried this piece of crap in three DVD players and the frigging DVD does not work. What is the address to Amazon to get my money back. I strongly recommend not buying this piece of crap.
1,Brookfield,Failed after a couple months using it as a,Ordered this drive to use with Windows 7 readyboost in mid 2010. It was dead within a month or so and wouldn't function whatsoever.
4,Annapolis,"Philosophy, mystery and history all rolled into one book!","An amazing concept for a book. It's a mystery story (who is the mysterious philosophy teacher?), a history of philosophy told in terms that are both simple to understand and deeply thought provoking. It also leaves the reader with a myriad of intellectual conundrums.This has to be one of the most fascinating books of recent times."
3,Brookfield,dried potatoes,"I really did not like these potatoes at all. I thought they tasted worse than most of the others I've tried. I have to admit that I am a fan of whole potatoes, but I like to keep a box of potato flakes on hand. My husband likes dried potatoes, but he did not like these."
3,Brookfield,"phone doesn't work, not reliable, expected better from sony","The phone seemed great, answering machine had problems with cutting off parts of message... after 1 week, battery just wouldn't work, even though phone had not been away from base cradle except for actual phone calls. Replacing battery at my own cost did not fix. I returned item as faulty and would not recommend it to anyone."
3,Kenmore,It's the guitariest!,"I'm not surprised at all the negative reviews here, because this album is different, which scares people. It rocks, it sputters, it lurches. It's hard. It sounds broken and industrial. The guitars are insane, all over the place. Even Josh Homme's vocals are different than anything he's ever done before.So if you want to hear Songs for the Deaf Part II, don't buy this album. If you want to hear an album that's fresh and exciting and exactly what rock and roll should sound like in 2008, then pony up for this masterpiece. Best QOTSA album ever."
2,Kenmore,This book is junk,"I'm a UC Davis student who took the plant biology course that uses this book. The professor doesn't even follow the book because it's so bad. It's unorganized, confusing, and useless for my class. Even some of the illustrations in the book are wrong. Don't buy this book if you just plan to learn plant biology. If you have to buy this book because course requirement, good luck"
4,Burton,Too good to be real,All these episodes of the Tudors are great ! Story and cast are awesome even if it is not totally accurate account of history...
3,Fridley,a good but long book,"Executive orders is not the best tom clancy novel but is a very good one. Its 1300+ pages set up a good ending but it takes a long time to get to it. If you can't stomach a long read i don't reccomend this book, however, if you are looking for a book to get really caught up in this is your book. Overall i thought it was a good book."
4,Mansfield,Cheap and Chic,this is a really smart and cute guide for us young twenty somethings that are just getting started. it has great tips and advice on what areas to splurge on and how to love large on a budget. alot of things are common sense but it's still a cute book
4,Annapolis,Grape Jelly,"i love jan morris' take on our 16th president. she compares him to grape jelly at the beginning of the book, and at first has readers scratching their heads. but you will soon find out why the comparison is used if you dive in and keep reading. i love this biography, morris is one of my favorite authors and it is definitely work reading over and over again. great book."
4,Sun City Center,My new gym :-D,"Working out used to be heh for me, but after getting the door gym I made a rule. Anytime I enter my bathroom (which is where it is suspended) either before or after I have to do 10 Pull-ups and 10 Neutral pull-ups, also since I purchased the broad-reach 10 of those as well. It's working wonders, within the first week of doing pull-ups where i'd use my legs just enough to complete the pull-up I'm now able to do 10 regular pull-ups. I'm very happy with this product, only downside (which I personally don't really care about) is that depending on what kind of door frame you have you could get some denting on the front side, the backside works just fine and leaves no marks on your walls. So anyway... I highly recommend this product to anyone who wants a quick and depending on how hard you want to work :P easy workout."
5,Lancaster,More than just the canon,"pachelbel's canon is so lovely that i always figured he must have written other good chamber music. but until this album i'd failed to find it. the trio sonatas and parties are pleasant melodies and make gratifying listening.the album also, inevitably?, contains the canon. but here too there's a reward. the canon was popularized by a viennese string orchestra that toured the us c. 1973 and played the canon at a 6-7 minute pace, yet today's chamber performers prefer a pace of about 2.5 to 3 minutes. this rendition is nearly 4 minutes and done with a liveliness of tone that reminds us why the canon is fun."
4,Annapolis,Super!,"one of the most beautiful songs and real heart breaking voice. if you like this genre, you'll love it!"
1,Kenmore,Wrong sizes sent,"I received this set as a Christmas present. Much to my surprise, and dismay, they did not send the right sizes. I received a 1T, 1.5T and 1.5 teaspoon. My set is missing the largest scoop. I hope to get my large scoop sent and return the small one. Otherwise the entire set is going back."
3,Orland Park,great collection of short horror stories,"If you like fast-paced short stories, this is the book for you. It was my first Stephen King reading. ""The Ledge"" continues to haunt my memory."
5,Annapolis,As A Poet!,"As a poet I duelly enjoyed this ""poem"". it had more substance then domew of the plays I have read recenttly. I really like the dept and character of Shange's women, and their ideas. I was moved by the honest approach to the way things were/are. I applaud this wonderful book and give it two thumbs up!"
2,Annapolis,0 star if I could select it....,"Kiyosaki is a mediocre story teller at best and an even worse financial/life adviser. I'm no expert but I suspect he suffers from multiple personality disorders. It's obvious that all the stuff he talks about his rich dad and Mike and himself are made B.S. The materials reads/sounds like as if 4(the 2-dads, Mike and him) of his multiple personalities are talking to one another and he has the insight and bravado to put it down on paper and make a fortune out of it. Someone once told me that if you package feces right, you can sell it. Kiyosaki's books are proof of that.PZ"
1,Orland Park,A huge waste of time.,"This album offers nothing new and exciting at all. Bush were a (still are? thats if they are still together, maybe)resepectable band.Everything about this album is a drudge and drag. The guitars are heavy, but with no edge or buzz, just a big fat lazy noise, and none of the songs really offer anything great, just loud guitar riffs with the odd interlude or unsurprising intro, all the while lacking any real identity or direction.Why Bush have disentergrated is a mystery, they were a great band and while their last two albums did not make such an impact as their first two, they still were excellent, not surprisingly they were totally ignored in favour of commercial nonsense instead - BORING!!!It will be interesting to see whether Gavin Rossdale will reform Bush to make another album..... in what another 7 or 6 years? More than likely."
3,Eastchester,I LOST MY MONEY,"THE CD ARRIVED ON TIME, BUT I EXPECTED A TANGO CD AND IT TURNED TO BE FULL OF BALLADS AND SONGS. THERE IS NOT ENOUGH INFORMATION ABOUT THE PRODUCT IN THE BOOKLET INSIDE. IT'S ONLY ONE FOLDED PAPER WITH THE NAME OF THE SINGER AND THE TITLES. NO MUSICIANS, NO ORCHESTRA NAME, NO COMPOSERS NAME. VERY DISSAPOINTED BECAUSE I THINK I WON'T LISTEN TO DE CD ONCE MORE. I HARDLY WENT THROUGH HALF OF IT, AND IT SOUNDS ALL THE SAME."
4,Orland Park,Truly Excellent for all Viewers,"Many movies have appeal for mostly one type of person-- young kids, teenagers, adults, men, women, dog people, non-dog people.This movie is quite remarkable in that it really is outstanding for anyone. Really..Wonderful story with a lot of depth. Good acting, memorable characters, humor, action, moral decisions to be made, definite but subtle lessons to be learned no matter who you are.Five star rating. Ten if I could.."
3,Marysville,"In a word, ""crap.""","Cheaply made, very flimsy. Stopped working two months after I bought it. I ended up buying the Canon RS-80N3 Remote Switch. Which is of very high quality and very overpriced. But at least it works."
2,Eastchester,OK for light home use but not heavy duty use.,"We purchased two of these racks to use at our charity rummage sales. Unfortunately, they were not as sturdy and durable as they claimed to be. We barely had 100 lbs of clothes on the racks and one of them broke during the first use. One of the bars broke off completely. We were very disappointed in this purchase."
3,Fort Lauderdale,Let down.,"Don't get me wrong I found a few parts funny, but overall this movie was a letdown and I feel I could have watched something more entertaining. It could have been the mood I was in when I viewed the movie."
4,Bridgewater,Flight,"The airplanes that I made from this book, once finished, were simply amazing. I picked the ""dart"" models because they looked easier to make. The downside - the directions are a little hard to figure out. This would have been a great DVD - it would be easier to actually see someone making the planes."
4,Bridgewater,Awesome Strawberries,"The plants arrived moiste and ready for planting. I received 50 plants and 45 of them are doing very well. Since this is a bare root product I expected some to not make it, but here it is a week later and they are growing every day and already new leaves are sprouting. I found this same strawberry plant at my local nursery for $2.50 a plant! I expect nothing but great berrys from these plants. Thank You"
3,Wausau,"AMAZING, BEST BOOK I EVER READ","When getting this book in the mail with a bunch of other books, I picked this one up and thought, ""Why did my mother buy me this boring and long book?"" One day I picked it up and started to read it, and I couldn't put it down. It was probably the best book I ever read! Now my friend has borrowed it from me. I can't wait to read the second: ""Rebel Angels!"""
1,Marysville,Not worth the money,"This game has no similarity at all to D&D; and I found the title to the game misleading.Hero development is mundane and sorely limited.If you are looking for a D&D; game, this is definitely not it.Game is pretty repetive and limited."
3,Pensacola,Trays good for sensitive teeth,"I've had to stay away from products like these due to the sensitivity caused by the process. However, about a year ago, my dentist recommended putting fluoride gel(which I purchase form the dentist) into ""my trays"" after bleaching to relieve the pain only to be frustrated that ""my trays"" would have to be custom made at a price I was not willing to pay. (FYI: For reviewers that complain about gum bleaching, this is the answer to your woes because the trays will fit your teeth perfectly and not get bleach goo on your gums) I was very excited that Aquafresh introduced these trays because after I bleach, I can rinse out the trays and put in the fluoride gel for as long as I can stand. This has solved my sensitive teeth problems, and now I can bleach as often as I like."
2,Marysville,COMMERCIAL RAP,"WHAT HAPPEN TO HOUSTON. H-TOWN USE TO BE A MAVERICK FOR ORIGINALITY. WILLIE D, GETO BOYS THEN DJ SCREW WERE ALL INNOVATORS THAT KEPT HOUSTON ON THE MAP. TODAY THERES NOTHING BUT WACKED RAP COMING OUT OF HOUSTON. COME ON NOW, ALL YOU EVER HEAR IS PURPLE SYRUP, WOOD GRAIN, CHANGIN LANES, CANDY PAINT, ETC... OVER AND OVER ON TRACK AFTER TRACK ON CD AFTER CD. WE'VE ALREADY HEARD ALL OF THIS BEFORE. LIKE OVER 10 YEARS AGO. THIS CD IS NO EXCEPTION. IT COMES OFF SOUNDING LIKE SOME KIND OF DEMO. SO PLEASE, WILL YOU WACK PEOPLE STOP BUYING THESE WACK CDS' AND STOP SUPPORTING WACKED RAP."
4,Kenmore,Need a Kindle version of the book,"i just loved the book, whether it was written well or not so well, but i would like to see it in a kindle version, so i can have it with me in my purse.thank you."
4,Sun City Center,Brians Wilderness,"Brian Robinson is back out in the wild again. Brian can not adjust to his normal life at home. Brian decides to start to head out on a journey to meet the small horns (The People Who Saved Him). Brian encounters many things like being shot in the leg with his own arrow. Brian was heading down the river on his journey. When he stopped to look at a bear that was looking at him. The bear started to charge and Brian, Brian jumped out on to dry land. Will Brian be able to fight off the bear?"
2,Holt,Very Brief Nudity,"You get a couple quick glimpses of topless nudity every once in a while. Theres a good strip routine near the end, but its so dark that you dont see much when she finally takes off her top. you get a few glimpses, you will find more skin flicks than this."
4,Pensacola,Pink Martini?,Pink Martini fan? Now you know where your favorite vocalist went. Pepe's new band is awesome.
2,Parma,It doesn't work for everyone!,"What the book doesn't tell you is that if you are not obese, you will not see the results described. I have been in ketosis/lipolysis for 3 months and have lost only 3 pounds. I couldn't understand what was happening and my doctor said that the diet works only for people who are significantly overweight (I wanted to lose only 10-15 pounds). Also, my blood pressure went through the roof! My previously obese sister had a great experience, but not me!"
1,Burton,ugh,"I didn't realize when i ordered this that it was the ""neuter"" version, which means they basically took all the great stuff out, I would deff recommend paying a few extra dollars for the unrated version, this is just SAD."
3,Sayreville,"A brave, gut wrenching confessional","I first saw Martin Moran perform a version of his story as a one man play in Manhattan. When his off hand geniality, warmth and humor suddenly segued into the story of a young gay boys sexual abuse by a Catholic Brother, it hit the audience like a bolt out of the blue. The book goes into even greater depth. If you can't see this incredibly talented theater guy tell his story, this book is the next best thing."
3,Pensacola,Firefighter Puppet!,purchased for my daughter's friend as a birthday gift and she absolutely loves it. i would highly recommend these puppets. they are great quality for the price.
3,Pensacola,they work,"These are some of the better earbuds out there. They don't hurt (as some earbuds do), and the wrap-around feature keeps them in your ears (for when you decide to overreach the length of the cord).The nicest thing about is the length. I can now listen to the radio on my desk and still reach the drawers in my cubicle without having to take them off. Wonderful!I would recommend these to anyone who has suffered the standard length of earbuds."
4,Sayreville,A must-read,"There is nothing boring, old or unoriginal about Jason Fforde's ""The Eyre Affair"". From the first page to the last, you will be spellbound by his seemingly limitless imagination. I personally am drawn to the world where people live and breathe literature (perhaps a satire on today's world, where technology is the be-all and end-all of our lives?). I haven't read all the books mentioned in the novel, but by the time I reached the end of the story, I was raging to go, buy and read them! On top of being a hilarious and fast-paced detective/adventure story, I find this book to be a loving tribute to the world of reading and literature, and it will certainly encourage you to read more."
4,Holt,Great Drive,"Great for TimeMachine back ups. Already formated for Apple Mac systems. Runs quite and cool. Looks great too, matches the PowerMac G5 case."
1,Sun City Center,This is a 1 CUP press,"12 ounces = about the size of a Tall Starbucks coffee.I'm not sure in what universe Bodum lives that they call a 12 ounce press ""3 cups"". (in the end it makes about 10 ounces, if you think about the space for the grounds).I'm doing Bodum a service by making consumers aware of this so you can avoid buying it and they can avoid your complaints, if you're looking for a press that gives you more than 1 cup of coffee."
1,Eastchester,"Jurassic Park & Spielberg - Best Selling, Best Director??","OK, the devil posessed me at this very point when I'm writing this. But I''ve always felt this way anyhow.... If no one in the world has said this before, may I be the first.Jurassic Park is one hell of a disaster. Those who made this should be eradicated from earth. The biggest turkey in cinema history (and let us not forget the giant pelicans too), if you're buying this because of its achievements in special effects and sounds then count yourself as someone who has no clue at all what cinema is about. A film that is simply a waste of time and talent.As for Spielberg voted as the No.1 director in AFI (?)'s Best Director list, are you kidding??"
5,Orland Park,WRONG INFORMATION FOR ITEM,"love chronicles - love in the old west was an episode in an a&e; documentary series in 2000. it's not a movie and the above information is completely incorrect.the item description is correct. ""a chronicle of one of the most romanticized eras in american history. meet pioneer descendants, real-life mountain men, and native americans who tell their love stories and relive tales of romance among the outlaws and gunslingers of the frontier. john corbett (""northern exposure"") hosts""the credits are entirely wrong. they belong to the movie, ""love chronicles"" which is a different item. also, after reading the reviews - they all seem to belong to the movie as well. i hope someone from amazon can fix it."
2,Holt,NEVER RECEIVED ITEM,I NEVER receivd this item from the 3rd party seller. I WILL NEVER use this service again. I will go to my local Barnes/Nobles. I waited THREE weeks after the agreed upon date and have yet to see the product. BAD SERVICE!!!!!
4,Lancaster,Fairly good shape,love the story. recieved the book fairly quickly. some writting on the cover as well as inside the book. the binding of the book was weel worn but seems to be holding up well for a used paper-back.
1,Fort Lauderdale,Poor Gilbert :-(,"Poor Gilbert! He must have turned over in his grave every day since this monstrosity was created.Removing the opera from Japan and dressing the characters in British 1920s formal attire takes Mikado out of context, and renders it humorless and senseless.Gilbert was a genius. The creator of this perversion is not!"
2,Wausau,Wheels no longer move in front!!,"The wheels on this stroller no longer roll, after very little use, maybe 10 times. They lock up and you have to pop-a-wheelie to move the stroller.I will NEVER by another Kolcraft. Wheel technology is hundreds of years old. This should not be happening in the 21st Century!"
2,New Windsor,Broken Toy - Broken Heart,"Purchased two of these for my grandson, and would have purchased the entire set. Weapons did not fit hands of figures, and the hands fell out of the sockets, and, of course, they're now missing. The figure did not even last 24 hours. Flawed design and poor construction. I won't purchase any more Bandai toys, and the ones I purchased for Christmas are being returned."
3,Kenmore,Dull Mission for the Killmaster,"Carter is in the Mideast trying to find out who is mobilizing Muslims against the West. Unfortunately,action is set aside so Carter can trade quips and bed down a KGB spy he's on friendly terms with. Yawn!"
2,Wausau,Slow and unstable,The BEFCMU10 (Version 3.0) cable modem is not Linksys' best product. It is unstable (requires a reset about twice a week) and has long latency under high traffic. I was running a Voice Over IP connection over this cable modem. I had poor performance and poor reliability.Replaced this with a Motorola Surfboard SB5120. The SB5120 performs much better with much lower latency. Greatly improves the quality of my VOIP service and never requires a reset.Wait for a new release (version 4.0?) or buy a SB5120.
3,Burton,"only works as a charger, does not hot sync Tungsten E2","This cable is not for the Tungsten E2, it is for a Treo 600. It has no hot sync button and will not hot sync through software despite what they assert. Don't get it."
4,Elmwood Park,Good knife needs work,The ribbing on side wears off on change in pocket. Also the saw attachment has no indentation on it to open.
3,Bridgewater,Be Afraid...Be Very Afraid!!!!,"Bar none the worst business machine I've ever owned.Like others have said, single faxes have to be forced into the slot to hopefully get them to feed. Multiple sheets go through three or four at a time. A complete waste of your money. I'm dumping it for a Brother 4100e."
2,Eastchester,Not for me,"While I can appreciate fratire, I did not really care for this book. I rated it with two stars as some people may appreciate the book, however it wasn't for me. In my opinion I found it to be degenerate."
5,Sayreville,Not cheap but convenient,You could put something like this together for much less than it costs but if you're short on time then these straps do the trick. I use them on all tall/heavy furniture that's at risk of toppling in an earthquake or if baby climbs on them. They come in enough colors that I can match them to to the furniture and they don't look too bad.
2,Parma,No way would this pen hold any dog,"This was the flimsiest piece of junk ever. Reviews claiming that it holds their 50lbs rambunctious puppy must be fake, or the product has been redesigned. After assembly, even the lightest touch knocked this over. The pen either would tip over or fold in on itself. On top of the poor quality of the product, the return shipping through UPS is obscene -- it will cost over half the original price of the pen.I'm not sure how so many people can give this product such a positive review..."
3,Wausau,Incestuous filth,"Unfortunately I bought the trilogy after reading The Other Boleyn Girl thinking that all of this authors works would be good. I was wrong. I read this book and the start of the next, The Favored Child, and it is all disgusting. Honestly, I don't know who would enjoy this kind of rag."
4,Burton,This book is actually ' Present of the Past',this is my first book by elizabeth adler and i love it.it is a gripping story full of strong emotions. i wonder why it has not been spotted by any film producer to make into a movie. i'm sure your readers would enjoy it.
2,Sun City Center,great disappointment,"I've read a number of Koontz books and have enjoyed them a great deal, but Fear Nothing is probably the worst book that I've tried to read in many, many years.The storyline would have been good, but the story telling made it impossible for me to read and enjoy. I found myself skimming page after page, trying to get to the good parts. The good parts were few and far between, unfortunately.The book has far too much flowery, needless, in-depth descriptions of the most mundane things that did nothing to make the story anything but a chore for me to read.I'd intended to buy the sequel, but I am afraid to waste the money on it."
3,Brookfield,One of the best and most comprehensive budgie books around.,"REVIEW: Excellent! One of the best and most comprehensive budgie books around. This is a MUST HAVE for all parakeet owners! As a budgie owner and breeder, I have referred to it often. Nice pics and diagrams. Includes a fantastic section (25 pages!) on breeding. Plus an informative chapter on Health Care and Diseases. Subjects also covered include Diet, Purchasing and Housing, and Behavior, among others. I HIGHLY RECOMMEND IT!"
3,Mansfield,TWO DAYS,"two days is how long it took me to read this book. i am usually a.d.d. when it comes to reading, taking me a few weeks to read a good sized novel. however, angels and demons is a breathtaking attention getter that was far more interesting and suspenseful than any television program i could have watched instead. i sat for hours reading chapter after chapter. there is not a single lull in the book in which to get bored with. i was fascinated by all of the religious symbolism and how mosty accurate dan brown was with the inner workings of the catholic church. i highly reccommend this book to lovers of mystery, suspense, science fiction, and adventure."
4,Burton,Buffy Rocks!!!!!,This game is awsome. This new software company is Impressive very Impressive...Definite must get for Buffy Fans...
3,Bridgewater,One Star is One Too Many,"The remaining members of Styx from its vintage days are long on pettiness and short on talent. Nothing more than bland, middle of the road, totally unimaginative tripe. Dennis De Young made Styx Styx, for better or worse. Now that he's gone, it's clear it was for better. Save your money and buy ANYTHING else - Madonna, Backstreet Boys, anything!"
3,Parma,Free at Last,I did not receive the book yet. I am still waiting on it. When will it be shipped. Thanks.
4,Bridgewater,My First Review After bin Laden's Death,"I think the cover and title of Overkill's EP re-issue are a perfect message for the dead, water-logged terrorist. The song title Rotten to the Core applies to Osama 'has-been' Laden as well, and don't forget Fatal If Swallowed...as in a Navy SEAL bullet! Finally, it might be true that Evil Never Dies, as the song title suggests, but it CAN get dumped into the sea to nourish the bottom-feeders. May 1, 2011 was a day to remember.As for an actual review, I like the cd a lot. It has the classic F*** You EP, Hole in the Sky and Evil Never Dies live, and their self-titled, out-of-print debut EP. If you're looking for F*** You anyway, I don't know why you wouldn't go for the re-issue with its twelve tracks. So, in summary, Overkill rules, bin Laden's dead, and screw terrorism."
5,Sun City Center,a typical 90's rock album,"I bought this album knowing almost nothing about elastica, but i found it in the bargain bin of a record store used for 3 dollars, so i decided to give it a try. i didnt know what to expect- and i got something that sounds like something Hole would do. it sounds like its straight from the mid 90's- but also has some 80's influences, melodies, and harmonies. its not a masterpiece, but it is a pretty solid album if you want a good uptempo album. My favorite song is probably track number 5, Smile. The songs arent really that diverse and sometimes cant tell them apart. It is almost like a female empowerment album. So if you like the rocking sounds of hole, try this album. after listening, it kind of reminded me of veruca salt- another great female led rock band. this album is worth a try."
1,Burton,How did this Cd make it to the top ten?,"The song `It's going down' was an ear catching tune. Other than that the album is horrible. I was very irritated after the fourth or fifth song. I agree with a previous comment that P. Diddy (Puffy, Sean Combs or whatever he's calling himself these days) is getting yet another quick buck. He did it for Loom, Black Rob, G. Dep, and the list goes on and on. Yung Joc does not represent the south at all; maybe his neighborhood in College Park, but defiantly not the south in a whole. Don't waste your time and effort purchasing this CD, just borrow it from your little sister or brother."
3,Sayreville,Good Waffles,"Bought this unit for the wife. We have other Cuisinart appliaces; coffee maker and convection toaster oven. This unit works well, first time making waffles we set it to light, but the second time, we made them darker, it was great. Don,t forget to spray with a lil Pam......Making them is fun, but for me, eating them is better......"
3,Pensacola,"A brilliant, under appreciated album","The songwriting is wonderful. I came across a promo copy and neglected it for years; when I finally gave it some attention, I was amazed. I've since lost that copy, so I've just bought another. It seems to be out of print. It's a shame that no one seemed to notice this great album."
3,Elmwood Park,Scanner and Fax Broke down after 2 years,Don't buy this printer. I bought it for around $360 and after 2 years it is just a piece of junk. Do not buy any Canon's MP830. Not worth the money.
1,Eastchester,Disappointing to Miles fan,"You'll find better works out there, particularly if you're a Miles fan. The emphasis here is on Milt Jackson and his vibraphone, which gives the album a light, airy feeling. Missing is much of Miles' horn and sentiment. You also get a bit shortchanged with a mere 30 minutes of music. I would call this a ""pleasant"" album, which in my jazz-world is not a happy thing."
3,Holt,Charlie Brown Christmas without Linus? Hmmmmm,"I bought these figures, thinking they were Christmas ornaments. I was a bit surprised that they had clip on key ring attachments. No problem, simply remove the key rings and put ornament hangers on them.These ""ornaments"" would be great bits of nostalgia, except they forgot to include Linus. They include a piano, but no Linus. Imagine, a Charlie Brown Christmas with nobody to play the carols.All in all, they rate a 2 for the silly key rings and no Linus. If marketed as ornaments and had a Linus, they would get 5 stars!"
4,Pensacola,Does the job,"Although not quite the right size for my wall heater, it does the job I needed it to do. Worth the price and now i can control; my heater"
3,Burton,James Bond 007: Nightfire,"This in its own right is the first game that truly gives the true bond expierence. I enjoyed it more than every James Bond game exept for Goldeneye. Every Bond game has lived in its shadow and so does Nightfire, but not as much as the rest of the bond titles. Goldeneye is the best bond in my opinion, but doesn't give the best impression of the charismatic James Bond himself. This game is more like a James Bond movie than a game and really develops every character and shows the side of James Bond as much as a movie does.Nightfire is about a Japanese based company that hopes in changing world government in favor for one government thatcontrols the planet with an arsenal of nuclear weapons and 007 of MI6 is the last hope for the world. The graphics are a ten out of ten. Pierce Brosnan looks almost real and the voice overs are really good. This is a very realistic first person shooter that no Gamecube owner should be without."
4,Marysville,Excellent,i love how interactive it is. my daughter is learning a lot by using it. we've had it a month and she still likes it which says a lot!
2,Lancaster,y did u have to desapoint us????,"sorry but this iz not wirth it!!! get some lyrics, beats r'nt that good either"
3,Orland Park,bass,"nice sound but doesn't have a really rich bass sound , really expected more sound out of them,, but love the design"
4,Sayreville,As Advertised,"It's reasonably priced, easy to use, works exactly as advertised and saved me time, inconvenience and money the first week I had it.I wish I could say that about everything I bought."
2,Sun City Center,organic argan oil,I have been using this product for over 2 weeks. I do not see any change in my skin as far as less wrinkled or more moisture.I have not tried it on my hair.
